id,controller,type,description,related_hazards,context
UCA-Human-Cancel-providing-2,Human,provided,"Human provides the Cancel control action while the vehicle is moving and serving passengers who are not safely seated, leading to unsafe vehicle behavior.",,"{'process_model_variables': [{'name': 'Context', 'state': {'process_model_variables': [{'name': 'Context', 'state': 'During passenger boarding or alighting, the human cancels the parking process abruptly, potentially causing unexpected vehicle movement.'}]}}]}"
UCA-Human-Cancel-providing-3,Human,provided,"Human provides the Cancel control action during system activation outside the ODD, but the cancel command is ignored or delayed, causing unsafe operation.",,"{'process_model_variables': [{'name': 'Context', 'state': 'The system activates outside its safe domain, the human attempts to cancel, but the system fails to respond promptly.'}]}"
UCA-Human-Cancel-timing-1,Human,too_early_too_late,"Human provides the Cancel control action too late after the vehicle violates minimum safe distance, failing to prevent collision.",,"{'process_model_variables': [{'name': 'Context', 'state': 'The vehicle approaches an obstacle dangerously close, but the human delays canceling the parking maneuver until after a hazard has occurred.'}]}"
UCA-Human-Cancel-timing-2,Human,too_early_too_late,"Human provides the Cancel control action too early during a valid parking maneuver, causing unnecessary interruption and incomplete parking.",,"{'process_model_variables': [{'name': 'Context', 'state': 'The parking process is ongoing and safe, but the human cancels prematurely, causing the vehicle to stop outside the desired parking space.'}]}"
UCA-Human-Cancel-timing-3,Human,too_early_too_late,"Human provides the Cancel control action out of sequence, e.g., canceling before selecting a parking space, causing system confusion or errors.",,"{'process_model_variables': [{'name': 'Context', 'state': 'The human cancels the parking process before the system has identified or confirmed a parking space, leading to inconsistent system states.'}]}"
UCA-Human-Cancel-duration-1,Human,stopped_too_soon_applied_too_long,"Human holds the Cancel control action input too briefly, causing the system to ignore the cancel command and continue unsafe parking.",,"{'process_model_variables': [{'name': 'Context', 'state': 'The human attempts to cancel the parking maneuver by briefly pressing the cancel button or brake, but the system does not register the input.'}]}"
UCA-Human-Cancel-duration-2,Human,stopped_too_soon_applied_too_long,"Human holds the Cancel control action input too long, causing unintended system reset or loss of system state.",,"{'process_model_variables': [{'name': 'Context', 'state': 'The human presses and holds the cancel control excessively, causing the system to reset or lose current parking data, leading to incorrect parking behavior.'}]}"
UCA-Human-SelectParkingSpace-not_providing-1,Human,not_provided,"Human does not select any parking space when prompted, causing the system to be unable to proceed with parking.",,"{'process_model_variables': [{'name': 'Context', 'state': 'The driver fails to select a parking space within the allowed time or ignores the prompt, leading to inability to identify a parking space and the autonomous parking system becoming unavailable or timing out.'}]}"
UCA-Human-SelectParkingSpace-not_providing-2,Human,not_provided,"Human does not select a parking space despite the vehicle being in an operational design domain (ODD), leading to system activation outside ODD or involuntary activation.",,"{'process_model_variables': [{'name': 'Context', 'state': {'process_model_variables': [{'name': 'Context', 'state': 'The driver does not select a parking space but the system activates or attempts to activate parking functions regardless, causing hazards related to activation outside ODD or involuntary activation.'}]}}]}"
UCA-Human-SelectParkingSpace-providing-1,Human,provided,"Human selects a parking space that is too small or obstructed, causing the vehicle to attempt parking in an invalid space.",,"{'process_model_variables': [{'name': 'Context', 'state': 'The driver selects a parking space that does not meet size or obstacle-free constraints, leading to wrong space identification and improper parking.'}]}"
UCA-Human-SelectParkingSpace-providing-2,Human,provided,"Human selects a parking space while the system is outside the operational design domain (ODD), causing system activation outside allowed conditions.",,"{'process_model_variables': [{'name': 'Context', 'state': 'The driver selects a parking space when environmental or system conditions do not allow safe parking, leading to hazards from system activation outside ODD or involuntary activation.'}]}"
UCA-Human-SelectParkingSpace-timing-1,Human,too_early_too_late,Human selects a parking space too early before the vehicle is in a suitable position or before the system is ready to start parking.,,"{'process_model_variables': [{'name': 'Context', 'state': 'The driver selects a parking space prematurely, causing the system to misinterpret the environment or state, leading to wrong space identification or incorrect system state communication.'}]}"
UCA-Human-SelectParkingSpace-timing-2,Human,too_early_too_late,Human selects a parking space too late after the system has started searching or after the parking maneuver has begun.,,"{'process_model_variables': [{'name': 'Context', 'state': 'The driver delays selection until after the system has started parking, causing inability to identify parking space properly or exceeding allowed parking time.'}]}"
UCA-Human-SelectParkingSpace-timing-3,Human,too_early_too_late,"Human selects parking spaces out of sequence, e.g., switching between spaces repeatedly during the parking process.",,"{'process_model_variables': [{'name': 'Context', 'state': 'The driver changes the selected parking space multiple times during the parking maneuver, causing confusion in system state and potentially improper parking.'}]}"
UCA-Human-SelectParkingSpace-duration-1,Human,stopped_too_soon_applied_too_long,"Human holds the selection input too briefly, causing the system to not register the parking space selection.",,"{'process_model_variables': [{'name': 'Context', 'state': 'The driver taps or presses the selection control too quickly or inconsistently, leading to failure in recognizing the selected parking space and inability to proceed.'}]}"
UCA-Human-SelectParkingSpace-duration-2,Human,stopped_too_soon_applied_too_long,"Human holds the selection input too long, causing the system to misinterpret the command or trigger unintended actions.",,"{'process_model_variables': [{'name': 'Context', 'state': 'The driver presses and holds the selection button or control excessively, causing the system to misinterpret the input as multiple selections or activation commands, leading to wrong space identification or involuntary activation.'}]}"
UCA-Human-EmergencyCancelByBrake-not_providing-1,Human,not_provided,"Human does not perform emergency cancel by brake when an immediate stop is required during parking, leading to continued autonomous parking maneuvers.",,"{'process_model_variables': [{'name': 'Context', 'state': 'During an emergency situation where the vehicle violates minimum distance to objects or an emergency stop is necessary, the human fails to press the brake to cancel the parking maneuver.'}]}"
UCA-Human-EmergencyCancelByBrake-providing-1,Human,provided,"Human performs emergency cancel by brake unnecessarily when the parking maneuver is proceeding safely, causing abrupt stop of the parking process.",,"{'process_model_variables': [{'name': 'Context', 'state': 'Human presses the brake pedal to cancel parking even though the system is operating correctly and within operational design domain (ODD), interrupting the parking process prematurely.'}]}"
UCA-Human-EmergencyCancelByBrake-timing-1,Human,too_early_too_late,"Human performs emergency cancel by brake too late after a hazard has already occurred, failing to prevent collision or unsafe conditions.",,"{'process_model_variables': [{'name': 'Context', 'state': 'Human delays pressing the brake pedal after the vehicle has already violated minimum safe distance or an emergency stop was necessary, reducing effectiveness of the emergency cancel.'}]}"
UCA-Human-EmergencyCancelByBrake-duration-1,Human,stopped_too_soon_applied_too_long,"Human holds the brake pedal pressed too long, causing the parking process to remain canceled and preventing resumption of parking.",,"{'process_model_variables': [{'name': 'Context', 'state': 'Human continuously presses the brake pedal beyond the necessary time to cancel, causing the system to remain inactive and the vehicle not to complete parking within allowed moves.'}]}"
UCA-Human-PressBrake-not_providing-1,Human,not_provided,"Human does not press the brake pedal when the vehicle is approaching an obstacle too closely, leading to failure to stop and violation of minimum safe distance.",,"{'process_model_variables': [{'name': 'Context', 'state': 'During parking or maneuvering, the driver fails to apply the brake pedal when the vehicle is too close to an object or curb, causing potential collision or unsafe stopping location.'}]}"
UCA-Human-PressBrake-not_providing-2,Human,not_provided,"Human does not press the brake pedal to abort the parking maneuver during an emergency or system malfunction, preventing the vehicle from stopping as required.",,"{'process_model_variables': [{'name': 'Context', 'state': 'The driver fails to intervene by pressing the brake pedal to cancel the ParkPilot system when it activates outside the operational design domain or when an emergency stop is necessary.'}]}"
UCA-Human-PressBrake-not_providing-3,Human,not_provided,"Human does not press the brake pedal when the vehicle is moving while passengers are not safely seated, allowing unsafe vehicle movement.",,"{'process_model_variables': [{'name': 'Context', 'state': 'During passenger boarding or alighting, the driver fails to press the brake pedal to prevent vehicle movement while passengers are not safely seated.'}]}"
UCA-Human-PressBrake-providing-1,Human,provided,"Human presses the brake pedal unnecessarily or excessively, causing abrupt deceleration that exceeds safe limits.",,"{'process_model_variables': [{'name': 'Context', 'state': 'The driver applies the brake pedal too hard or when not required, causing harsh deceleration that may harm passengers or damage the vehicle and surroundings.'}]}"
UCA-Human-PressBrake-providing-2,Human,provided,"Human presses the brake pedal while the vehicle is outside the operational design domain (ODD), causing unintended system activation or emergency stop.",,"{'process_model_variables': [{'name': 'Context', 'state': 'The driver presses the brake pedal in conditions where the ParkPilot system should not be active, leading to system confusion or involuntary activation.'}]}"
UCA-Human-PressBrake-providing-3,Human,provided,"Human presses the brake pedal while the vehicle is moving in a turn at speeds exceeding 20 km/h, causing instability or loss of control.",,"{'process_model_variables': [{'name': 'Context', 'state': 'During a turn at excessive speed, the driver presses the brake pedal abruptly, potentially causing skidding or loss of vehicle control.'}]}"
UCA-Human-PressBrake-timing-1,Human,too_early_too_late,"Human presses the brake pedal too late when the vehicle is approaching an obstacle, failing to prevent collision or violation of minimum distance.",,"{'process_model_variables': [{'name': 'Context', 'state': 'The driver delays pressing the brake pedal during parking or maneuvering, resulting in insufficient stopping distance and potential collision.'}]}"
UCA-Human-PressBrake-timing-2,Human,too_early_too_late,"Human presses the brake pedal too early during the parking maneuver, causing unnecessary interruption or failure to complete the parking process correctly.",,"{'process_model_variables': [{'name': 'Context', 'state': 'The driver applies the brake pedal prematurely during automated parking, causing the vehicle to stop before properly positioning within the parking space.'}]}"
UCA-Human-PressBrake-timing-3,Human,too_early_too_late,"Human presses the brake pedal out of sequence, such as pressing it when the system expects acceleration or steering input, causing system confusion or unsafe behavior.",,"{'process_model_variables': [{'name': 'Context', 'state': 'During the parking process, the driver presses the brake pedal at an unexpected time, disrupting the control sequence and potentially causing unsafe vehicle states.'}]}"
UCA-Human-PressBrake-duration-1,Human,stopped_too_soon_applied_too_long,"Human presses and holds the brake pedal too long, causing the vehicle to remain stopped unnecessarily and exceeding allowed parking time.",,"{'process_model_variables': [{'name': 'Context', 'state': 'The driver maintains brake pressure beyond the required stopping time during parking, leading to inefficient parking and potential system timeout.'}]}"
UCA-Human-PressBrake-duration-2,Human,stopped_too_soon_applied_too_long,"Human releases the brake pedal too soon during an emergency stop, causing the vehicle to move unexpectedly and fail to stop safely.",,"{'process_model_variables': [{'name': 'Context', 'state': 'During an emergency stop or obstacle avoidance, the driver releases the brake pedal prematurely, allowing the vehicle to move into unsafe areas.'}]}"
UCA-Human-PressBrake-duration-3,Human,stopped_too_soon_applied_too_long,"Human intermittently presses and releases the brake pedal during parking, causing inconsistent braking and unstable vehicle behavior.",,"{'process_model_variables': [{'name': 'Context', 'state': 'The driver applies the brake pedal in a start-stop manner during parking, leading to jerky movements and improper parking alignment.'}]}"
UCA-ParkPiIotController-ActivateBrake-not_providing-1,ParkPiIot Controller,not_provided,"The ParkPiIot Controller fails to activate the brake when the vehicle is approaching an obstacle too closely, leading to violation of minimum distance to objects.",,"{'process_model_variables': [{'name': 'Context', 'state': 'Occurs when sensor data indicates an obstacle within unsafe proximity but the controller does not send the activate brake command, possibly due to sensor failure or incorrect process model.'}]}"
UCA-ParkPiIotController-ActivateBrake-providing-1,ParkPiIot Controller,provided,"The ParkPiIot Controller activates the brake unnecessarily when no obstacle or hazard is detected, causing abrupt stops and potential loss of customer satisfaction.",,"{'process_model_variables': [{'name': 'Context', 'state': 'Occurs when the controller misinterprets sensor data or misidentifies parking space boundaries, activating brakes without valid reason.'}]}"
UCA-ParkPiIotController-ActivateBrake-timing-1,ParkPiIot Controller,too_early_too_late,"The ParkPiIot Controller activates the brake too late after detecting an obstacle, resulting in insufficient stopping distance and potential collision.",,"{'process_model_variables': [{'name': 'Context', 'state': 'Occurs when delays in processing sensor inputs or communication latency cause late brake activation during parking maneuvers.'}]}"
UCA-ParkPiIotController-ActivateBrake-duration-1,ParkPiIot Controller,stopped_too_soon_applied_too_long,"The ParkPiIot Controller keeps the brake activated for too long after the vehicle has stopped, causing unnecessary wear and possible vehicle immobilization.",,"{'process_model_variables': [{'name': 'Context', 'state': 'Occurs when the controller does not release the brake promptly after parking is complete or when the vehicle is stationary.'}]}"
UCA-ParkPiIotController-ActivateBrake-duration-2,ParkPiIot Controller,stopped_too_soon_applied_too_long,"The ParkPiIot Controller stops brake activation too soon before the vehicle is fully stopped, causing the vehicle to roll or collide with objects.",,"{'process_model_variables': [{'name': 'Context', 'state': 'Occurs when the controller prematurely deactivates the brake due to incorrect estimation of vehicle speed or position.'}]}"
UCA-ParkPiIotController-DeactivateBrake-not_providing-1,ParkPiIot Controller,not_provided,"The ParkPiIot Controller fails to send the 'Deactivate brake' command when the vehicle needs to move out of the parking space, causing the vehicle to remain stationary and unable to complete the parking maneuver.",,"{'process_model_variables': [{'name': 'Context', 'state': 'Occurs when the parking maneuver is complete or needs to continue, but the brake remains engaged, preventing vehicle movement and causing excessive parking time or system unavailability.'}]}"
UCA-ParkPiIotController-DeactivateBrake-providing-1,ParkPiIot Controller,provided,"The ParkPiIot Controller sends the 'Deactivate brake' command while the vehicle is not properly positioned or the parking space is not correctly identified, causing the vehicle to move unexpectedly and potentially collide with obstacles or park incorrectly.",,"{'process_model_variables': [{'name': 'Context', 'state': 'Occurs when the system deactivates the brake before confirming a valid parking space or safe distance to objects, leading to unsafe vehicle movement.'}]}"
UCA-ParkPiIotController-DeactivateBrake-timing-1,ParkPiIot Controller,too_early_too_late,"The 'Deactivate brake' command is sent too early during the parking maneuver, before the vehicle has fully stopped or before the parking space is verified, causing the vehicle to move prematurely and risk collision or parking errors.",,"{'process_model_variables': [{'name': 'Context', 'state': 'Occurs if the brake is released before the vehicle is properly aligned or the parking space is confirmed, leading to unsafe movement or wrong parking.'}]}"
UCA-ParkPiIotController-DeactivateBrake-timing-2,ParkPiIot Controller,too_early_too_late,"The 'Deactivate brake' command is sent too late after the vehicle has stopped and needs to move, causing delays in parking completion and potentially triggering system timeouts or driver intervention.",,"{'process_model_variables': [{'name': 'Context', 'state': 'Occurs when the brake remains engaged longer than necessary, delaying vehicle movement and increasing parking time beyond acceptable limits.'}]}"
UCA-ParkPiIotController-DeactivateBrake-duration-1,ParkPiIot Controller,stopped_too_soon_applied_too_long,"The 'Deactivate brake' command is applied too briefly, causing the brake to re-engage unexpectedly during vehicle movement, resulting in jerky motions or sudden stops that may confuse passengers or damage the vehicle.",,"{'process_model_variables': [{'name': 'Context', 'state': 'Occurs when the brake is released but immediately reapplied due to a control signal duration issue, causing unstable vehicle behavior during parking.'}]}"
UCA-ParkPiIotController-DeactivateBrake-duration-2,ParkPiIot Controller,stopped_too_soon_applied_too_long,"The 'Deactivate brake' command remains active for too long, causing the vehicle to roll or move uncontrollably beyond the intended parking position, potentially violating safe distances or parking boundaries.",,"{'process_model_variables': [{'name': 'Context', 'state': 'Occurs if the brake is released and not re-engaged timely, allowing the vehicle to move past the desired stopping point or into unsafe areas.'}]}"
UCA-ParkPiIotController-ActivateHazardLight-not_providing-1,ParkPiIot Controller,not_provided,"Hazard light is not activated when the vehicle is performing a parking maneuver in a complex or crowded environment, leading to other road users being unaware of the vehicle's status.",,"{'process_model_variables': [{'name': 'Context', 'state': 'During parking in busy or emergency-sensitive areas, failure to activate hazard lights may cause miscommunication to drivers and pedestrians, increasing risk of collision or impeding emergency services.'}]}"
UCA-ParkPiIotController-ActivateHazardLight-providing-1,ParkPiIot Controller,provided,"Hazard light is activated outside of the operational design domain (ODD) or when the vehicle is not engaged in parking, causing confusion to other road users and potentially leading to unsafe situations.",,"{'process_model_variables': [{'name': 'Context', 'state': 'Hazard lights turn on involuntarily or without user request while driving normally, misleading other drivers and possibly causing traffic inefficiency or emergency service obstruction.'}]}"
UCA-ParkPiIotController-ActivateHazardLight-timing-1,ParkPiIot Controller,too_early_too_late,"Hazard light is activated too late after the parking maneuver starts, delaying warning signals to surrounding traffic and increasing the risk of collision or misinterpretation of vehicle intent.",,"{'process_model_variables': [{'name': 'Context', 'state': ""When the vehicle begins parking but hazard lights are activated only after significant movement, other road users may not anticipate the vehicle's actions, increasing hazard likelihood.""}]}"
UCA-ParkPiIotController-ActivateHazardLight-timing-2,ParkPiIot Controller,too_early_too_late,"Hazard light is activated too early before the parking maneuver begins, causing unnecessary confusion or distraction to other drivers and pedestrians.",,"{'process_model_variables': [{'name': 'Context', 'state': ""Hazard lights turn on prematurely, for example, while the vehicle is still in normal driving mode, misleading others about the vehicle's intentions.""}]}"
UCA-ParkPiIotController-ActivateHazardLight-duration-1,ParkPiIot Controller,stopped_too_soon_applied_too_long,"Hazard light remains activated for too long after the parking maneuver is completed or aborted, causing confusion and miscommunication to other road users.",,"{'process_model_variables': [{'name': 'Context', 'state': 'After parking is finished or canceled, hazard lights stay on unnecessarily, potentially signaling a hazard or emergency when none exists.'}]}"
UCA-ParkPiIotController-ActivateHazardLight-duration-2,ParkPiIot Controller,stopped_too_soon_applied_too_long,"Hazard light is deactivated too soon during an ongoing parking maneuver, reducing visibility and warning to surrounding traffic and increasing collision risk.",,"{'process_model_variables': [{'name': 'Context', 'state': ""Hazard lights turn off before the vehicle has fully stopped or completed parking, causing other road users to underestimate the vehicle's status.""}]}"
UCA-ParkPiIotController-DeactivateHazardLight-not_providing-1,ParkPiIot Controller,not_provided,"Hazard light is not deactivated after parking maneuver completion, causing confusion about vehicle status.",,"{'process_model_variables': [{'name': 'Context', 'state': 'After the vehicle has completed parking and is stationary, the ParkPiIot Controller fails to send the deactivate hazard light command, leading to incorrect system state communicated to the driver and environment and possible involuntary activation perception.'}]}"
UCA-ParkPiIotController-DeactivateHazardLight-not_providing-2,ParkPiIot Controller,not_provided,"Hazard light is not deactivated when the parking maneuver is aborted, causing unclear vehicle status and potential driver confusion.",,"{'process_model_variables': [{'name': 'Context', 'state': {'process_model_variables': [{'name': 'Context', 'state': 'During an emergency cancel or manual override, the ParkPiIot Controller fails to deactivate the hazard light, resulting in the vehicle appearing to be in an emergency or active parking state when it is not.'}]}}]}"
UCA-ParkPiIotController-DeactivateHazardLight-providing-1,ParkPiIot Controller,provided,"Hazard light is deactivated prematurely during an ongoing parking maneuver, reducing visibility and signaling to other road users.",,"{'process_model_variables': [{'name': 'Context', 'state': 'While the vehicle is still performing parking maneuvers, the ParkPiIot Controller sends a deactivate hazard light command, causing other road users and pedestrians to be unaware of the vehicle’s active parking state, increasing risk of collision or obstruction.'}]}"
UCA-ParkPiIotController-DeactivateHazardLight-providing-2,ParkPiIot Controller,provided,"Hazard light is deactivated while the vehicle is stopped in a location where passengers cannot safely exit, misleading surrounding traffic and passengers.",,"{'process_model_variables': [{'name': 'Context', 'state': 'The ParkPiIot Controller deactivates the hazard light although the vehicle is stopped in a place where passengers cannot safely leave, causing confusion and potential safety risks for passengers and other road users.'}]}"
UCA-ParkPiIotController-DeactivateHazardLight-timing-1,ParkPiIot Controller,too_early_too_late,"Hazard light is deactivated too early immediately after initiating parking, before the vehicle is fully stopped or secured.",,"{'process_model_variables': [{'name': 'Context', 'state': 'The ParkPiIot Controller sends the deactivate hazard light command too soon after starting the parking maneuver, before the vehicle has reached a safe and stable parked state, increasing risk of collision or improper parking.'}]}"
UCA-ParkPiIotController-DeactivateHazardLight-timing-2,ParkPiIot Controller,too_early_too_late,"Hazard light is deactivated too late after parking completion, causing unnecessary confusion or miscommunication to other road users.",,"{'process_model_variables': [{'name': 'Context', 'state': 'After the vehicle has successfully parked and is stationary, the ParkPiIot Controller delays deactivation of the hazard light, leading to incorrect signaling and potential driver or pedestrian misunderstanding.'}]}"
UCA-ParkPiIotController-DeactivateHazardLight-duration-1,ParkPiIot Controller,stopped_too_soon_applied_too_long,"Hazard light is deactivated too soon during the parking process, before the vehicle is fully stopped and secured.",,"{'process_model_variables': [{'name': 'Context', 'state': {'process_model_variables': [{'name': 'Context', 'state': 'The ParkPiIot Controller stops the hazard light signal prematurely during parking, reducing visibility and signaling to other road users that the vehicle is no longer in an active parking state, increasing risk of collision or improper parking.'}]}}]}"
UCA-ParkPiIotController-DeactivateHazardLight-duration-2,ParkPiIot Controller,stopped_too_soon_applied_too_long,"Hazard light remains deactivated for too long after parking maneuver completion, failing to alert other road users during critical transition phases.",,"{'process_model_variables': [{'name': 'Context', 'state': {'process_model_variables': [{'name': 'Context', 'state': 'The hazard light is kept off for an extended period after parking completion or abort, causing miscommunication of vehicle status to the driver and environment, potentially leading to unsafe situations.'}]}}]}"
UCA-ParkPiIotController-SetAcceleration0-not_providing-1,ParkPiIot Controller,not_provided,"The ParkPiIot Controller does not set acceleration to 0 when the vehicle is supposed to stop during parking, leading to unintended movement.",,"{'process_model_variables': [{'name': 'Context', 'state': 'During the final parking maneuver, the controller fails to command zero acceleration, causing the vehicle to continue moving and potentially violate minimum distance to objects or park improperly.'}]}"
UCA-ParkPiIotController-SetAcceleration0-providing-1,ParkPiIot Controller,provided,The ParkPiIot Controller sets acceleration to 0 while the vehicle should still be moving to complete the parking maneuver.,,"{'process_model_variables': [{'name': 'Context', 'state': 'During parking, the controller commands zero acceleration prematurely, causing the vehicle to stop before parking is complete, resulting in incomplete parking or extended parking time beyond allowed limits.'}]}"
UCA-ParkPiIotController-SetAcceleration0-timing-1,ParkPiIot Controller,too_early_too_late,The ParkPiIot Controller sets acceleration to 0 too early or too late during the parking sequence.,,"{'process_model_variables': [{'name': 'Context', 'state': 'If zero acceleration is commanded too early, the vehicle may stop before reaching the parking space; if too late, the vehicle may overshoot or collide with obstacles, violating minimum distance constraints.'}]}"
UCA-ParkPiIotController-SetAcceleration0-duration-1,ParkPiIot Controller,stopped_too_soon_applied_too_long,The ParkPiIot Controller maintains acceleration at 0 for too short or too long a duration during parking.,,"{'process_model_variables': [{'name': 'Context', 'state': 'If zero acceleration is applied too briefly, the vehicle may creep forward unintentionally; if applied too long, the vehicle may remain stationary excessively, causing delays or blocking traffic.'}]}"
UCA-ParkPiIotController-SetAccelerationNegative-not_providing-1,ParkPiIot Controller,not_provided,The ParkPiIot Controller does not set negative acceleration (deceleration) when required to slow down or stop during parking maneuvers.,,"{'process_model_variables': [{'name': 'Context', 'state': 'During parking, the vehicle approaches an obstacle or the desired parking space boundary, but the controller fails to command deceleration, causing the vehicle to continue moving forward without slowing.'}]}"
UCA-ParkPiIotController-SetAccelerationNegative-providing-1,ParkPiIot Controller,provided,"The ParkPiIot Controller sets negative acceleration when it is not needed, causing unnecessary or excessive deceleration.",,"{'process_model_variables': [{'name': 'Context', 'state': 'The vehicle is moving smoothly within the parking space or approaching at a safe speed, but the controller commands deceleration abruptly or unnecessarily, leading to jerky movements or prolonged parking time.'}]}"
UCA-ParkPiIotController-SetAccelerationNegative-timing-1,ParkPiIot Controller,too_early_too_late,The ParkPiIot Controller sets negative acceleration too early or too late during the parking maneuver.,,"{'process_model_variables': [{'name': 'Context', 'state': 'The controller delays deceleration until the vehicle is too close to an obstacle or applies deceleration too early causing inefficient parking trajectory or abrupt stops.'}]}"
UCA-ParkPiIotController-SetAccelerationNegative-duration-1,ParkPiIot Controller,stopped_too_soon_applied_too_long,The ParkPiIot Controller applies negative acceleration for too short or too long a duration during parking.,,"{'process_model_variables': [{'name': 'Context', 'state': 'Deceleration is applied briefly and then stopped prematurely causing the vehicle to overshoot the parking space, or deceleration is applied excessively long causing the vehicle to stop unnecessarily or prolong parking time.'}]}"
UCA-ParkPiIotController-SetAccelerationPositive-not_providing-1,ParkPiIot Controller,not_provided,"The ParkPiIot Controller does not set positive acceleration when needed to move the vehicle into the parking space, causing the vehicle to stall or fail to complete the parking maneuver.",,"{'process_model_variables': [{'name': 'Context', 'state': 'During the parking maneuver, the vehicle requires positive acceleration to move forward into the parking space, but the controller fails to provide it due to sensor failure or incorrect process model, leading to incomplete parking or system unavailability.'}]}"
UCA-ParkPiIotController-SetAccelerationPositive-providing-1,ParkPiIot Controller,provided,"The ParkPiIot Controller sets positive acceleration when the vehicle is already too close to an object or obstacle, causing the vehicle to violate minimum distance constraints.",,"{'process_model_variables': [{'name': 'Context', 'state': 'The controller commands positive acceleration despite detecting an obstacle within the minimum safe distance or outside the operational design domain (ODD), potentially causing collisions or unsafe vehicle movement.'}]}"
UCA-ParkPiIotController-SetAccelerationPositive-timing-1,ParkPiIot Controller,too_early_too_late,"The ParkPiIot Controller sets positive acceleration too early before the parking space is correctly identified or before the vehicle is aligned properly, causing the vehicle to move into an incorrect or unsafe position.",,"{'process_model_variables': [{'name': 'Context', 'state': 'Acceleration is applied before the parking space is confirmed or before steering adjustments are made, leading to wrong space identification or improper parking within the space.'}]}"
UCA-ParkPiIotController-SetAccelerationPositive-duration-1,ParkPiIot Controller,stopped_too_soon_applied_too_long,"The ParkPiIot Controller applies positive acceleration for too long, causing the vehicle to overshoot the parking space or exceed safe velocity limits.",,"{'process_model_variables': [{'name': 'Context', 'state': 'Acceleration is maintained beyond the required duration during parking, resulting in the vehicle moving past the intended parking boundaries or accelerating to unsafe speeds.'}]}"
UCA-ParkPiIotController-SetAccelerationPositive-not_providing-2,ParkPiIot Controller,not_provided,"The ParkPiIot Controller fails to provide positive acceleration when the vehicle needs to exit a parking maneuver or reposition, causing the vehicle to remain stationary in an unsafe or obstructive location.",,"{'process_model_variables': [{'name': 'Context', 'state': 'After an aborted or completed parking attempt, the vehicle requires positive acceleration to move out of the parking space or emergency stop location, but the controller does not provide it, causing obstruction or emergency service impediment.'}]}"
